owner,name,branch,python,node,postgresql,nginx,solr
danesjenovdan,parlameter,dev,python:3.12,node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine,postgres:latest,nginx:alpine,solr:8.11.0
danesjenovdan,parlameter,ajdovscina,python:3.12,node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine,postgres:latest;postgres:latest,nginx:alpine,solr:8.11.0
danesjenovdan,parlameter,bosna,python:3.12,node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine,postgres:latest;postgres:latest,nginx:alpine,solr:8.11.0
danesjenovdan,parlameter,hrastnik,python:3.12,node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine,postgres:latest;postgres:latest,nginx:alpine,solr:8.11.0
danesjenovdan,parlameter,hrvaska,python:3.12,node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine,postgres:latest;postgres:latest,nginx:alpine,solr:8.11.0
danesjenovdan,parlameter,lendava,python:3.12,node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine,postgres:latest;postgres:latest,nginx:alpine,solr:8.11.0
danesjenovdan,parlameter,ljubljana,python:3.12,node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine,postgres:latest;postgres:latest,nginx:alpine,solr:8.11.0
danesjenovdan,parlameter,medvode,python:3.12,node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine,postgres:latest;postgres:latest,nginx:alpine,solr:8.11.0
danesjenovdan,parlameter,slovenija,python:3.12,node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine,postgres:latest;postgres:latest,nginx:alpine,solr:8.11.0
danesjenovdan,parlameter,slovenija-staging,python:3.12,node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine,postgres:latest;postgres:latest,nginx:alpine,solr:8.11.0
danesjenovdan,parlameter,trbovlje,python:3.12,node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine,postgres:latest;postgres:latest,nginx:alpine,solr:8.11.0
danesjenovdan,parlameter,ukrajina,python:3.12,node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine,postgres:latest;postgres:latest,nginx:alpine,solr:8.11.0
danesjenovdan,parlameter,zagreb,python:3.12,node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine;node:20-alpine,postgres:latest,nginx:alpine,solr:8.11.0
danesjenovdan,parlacontrol,master,,,,,
danesjenovdan,razglednica-z-visa,master,,,,nginx:alpine,
danesjenovdan,djapi,master,,,,,
danesjenovdan,parlaparser,master,,,,,
danesjenovdan,breakfree,master,,,,nginx:alpine,
danesjenovdan,studentski-uspehi,master,,,,nginx:alpine,
danesjenovdan,prostovid,master,,,,nginx:alpine,
danesjenovdan,alternacija,master,,,,nginx:alpine,
danesjenovdan,zarbrezutvar,master,,,,nginx:alpine,
danesjenovdan,omnia,master,,,,,
danesjenovdan,neenakost,master,,,,nginx:alpine,
danesjenovdan,vandalizem,master,,,,nginx:alpine,
danesjenovdan,cefizelj,master,,,,,
danesjenovdan,danesjenovdan.si,v3-dev,python:3.12-slim-bookworm;python:3.12-slim-bookworm,node:22-alpine;node:22-alpine,postgres:15-alpine,nginx:alpine,
